,asset,assetAmount,value,date
373,GUSD,56.0,55.450416,2022-07-31-00-00-00-000000
374,ETH-A,507515.0,839092394.96,2022-08-04-00-00-00-000000
375,ETH-B,88583.0,146456830.93,2022-08-04-00-00-00-000000
376,ETH-C,924670.0,1528789524.98,2022-08-04-00-00-00-000000
377,WSTETH-A,130909.0,227318807.52,2022-08-04-00-00-00-000000
378,WSTETH-B,119573.0,207635703.03,2022-08-04-00-00-00-000000
379,USDC-A,227112537.0,227112536.98,2022-08-04-00-00-00-000000
380,WBTC-A,33866.0,783527382.81,2022-08-04-00-00-00-000000
381,WBTC-B,681.0,15761403.98,2022-08-04-00-00-00-000000
382,WBTC-C,5699.0,131854161.36,2022-08-04-00-00-00-000000
383,MANA-A,68345084.0,68927292.73,2022-08-04-00-00-00-000000
384,USDP-A,6237220.0,6237219.84,2022-08-04-00-00-00-000000
385,LINK-A,880933.0,6570821.87,2022-08-04-00-00-00-000000
386,YFI-A,51.0,557543.01,2022-08-04-00-00-00-000000
387,GUSD-A,392094.0,392093.89,2022-08-04-00-00-00-000000
388,UNI-A,60684.0,544179.73,2022-08-04-00-00-00-000000
389,RENBTC-A,353.0,8173473.27,2022-08-04-00-00-00-000000
390,MATIC-A,130864568.0,118141391.31,2022-08-04-00-00-00-000000
391,UNIV2DAIETH-A,1730.0,584413.64,2022-08-04-00-00-00-000000
392,UNIV2WBTCETH-A,0.00025942,889296.9,2022-08-04-00-00-00-000000
393,UNIV2USDCETH-A,0.03981832,6598858.91,2022-08-04-00-00-00-000000
394,UNIV2DAIUSDC-A,77.59017739,174769036.37,2022-08-04-00-00-00-000000
395,UNIV2WBTCDAI-A,0.00024175,22326.72,2022-08-04-00-00-00-000000
396,GUNIV3DAIUSDC1-A,655685.0,669108764.13,2022-08-04-00-00-00-000000
397,GUNIV3DAIUSDC2-A,4849083.0,980640139.47,2022-08-04-00-00-00-000000
398,CRVV1ETHSTETH-A,443.94251062,748727.6,2022-08-04-00-00-00-000000
399,RWA001-A,1.0,15913500.0,2022-08-04-00-00-00-000000
400,RWA002-A,1.0,22495725.0,2022-08-04-00-00-00-000000
401,RWA003-A,1.0,2359560.0,2022-08-04-00-00-00-000000
402,RWA004-A,1.0,8815730.0,2022-08-04-00-00-00-000000
403,RWA005-A,1.0,17199394.0,2022-08-04-00-00-00-000000
404,RWA006-A,0.0,0.0,2022-08-04-00-00-00-000000
405,USDC,3564983782.0,3572113749.564,2022-08-04-00-00-00-000000
406,USDP,457583331.0,457583331.0,2022-08-04-00-00-00-000000
407,GUSD,56.0,55.907208,2022-08-04-00-00-00-000000
408,ETH-A,507165.0,860380556.83,2022-08-05-00-00-00-000000
409,ETH-B,87777.0,148908862.89,2022-08-05-00-00-00-000000
410,ETH-C,924792.0,1568862993.81,2022-08-05-00-00-00-000000
411,WSTETH-A,130907.0,233089588.89,2022-08-05-00-00-00-000000
412,WSTETH-B,124376.0,221459961.45,2022-08-05-00-00-00-000000
413,USDC-A,227112537.0,227112536.98,2022-08-05-00-00-00-000000
414,WBTC-A,33867.0,788865781.79,2022-08-05-00-00-00-000000
415,WBTC-B,681.0,15868267.43,2022-08-05-00-00-00-000000
416,WBTC-C,5701.0,132791456.85,2022-08-05-00-00-00-000000
417,MANA-A,68345084.0,69561626.01,2022-08-05-00-00-00-000000
418,USDP-A,6237220.0,6237219.84,2022-08-05-00-00-00-000000
419,LINK-A,880933.0,6747950.27,2022-08-05-00-00-00-000000
420,YFI-A,51.0,558502.79,2022-08-05-00-00-00-000000
421,GUSD-A,392094.0,392093.89,2022-08-05-00-00-00-000000
422,UNI-A,60684.0,550820.5,2022-08-05-00-00-00-000000
423,RENBTC-A,354.0,8250075.01,2022-08-05-00-00-00-000000
424,MATIC-A,130864568.0,121207632.66,2022-08-05-00-00-00-000000
425,UNIV2DAIETH-A,1730.0,584413.64,2022-08-05-00-00-00-000000
426,UNIV2WBTCETH-A,0.00010783,369639.32,2022-08-05-00-00-00-000000
427,UNIV2USDCETH-A,0.03981832,6680464.95,2022-08-05-00-00-00-000000
428,UNIV2DAIUSDC-A,77.59017739,174769731.08,2022-08-05-00-00-00-000000
429,UNIV2WBTCDAI-A,0.00024175,22326.72,2022-08-05-00-00-00-000000
430,GUNIV3DAIUSDC1-A,696137.0,710391158.88,2022-08-05-00-00-00-000000
431,GUNIV3DAIUSDC2-A,5053981.0,1022080023.59,2022-08-05-00-00-00-000000
432,CRVV1ETHSTETH-A,443.94251062,765364.55,2022-08-05-00-00-00-000000
433,RWA001-A,1.0,15913500.0,2022-08-05-00-00-00-000000
434,RWA002-A,1.0,22495725.0,2022-08-05-00-00-00-000000
435,RWA003-A,1.0,2359560.0,2022-08-05-00-00-00-000000
436,RWA004-A,1.0,8815730.0,2022-08-05-00-00-00-000000
437,RWA005-A,1.0,17199394.0,2022-08-05-00-00-00-000000
438,RWA006-A,0.0,0.0,2022-08-05-00-00-00-000000
439,RWA008-A,0.0,0.0,2022-08-05-00-00-00-000000
440,RWA009-A,1.0,100000000.0,2022-08-05-00-00-00-000000
441,USDC,3523179559.0,3530225918.118,2022-08-05-00-00-00-000000
442,USDP,457557035.0,457293939.704875,2022-08-05-00-00-00-000000
443,GUSD,55.0,55.05499999999999,2022-08-05-00-00-00-000000
444,ETH-A,507186.0,868766685.29,2022-08-06-00-00-00-000000
445,ETH-B,88061.0,150840994.31,2022-08-06-00-00-00-000000
446,ETH-C,923759.0,1582321303.75,2022-08-06-00-00-00-000000
447,WSTETH-A,130911.0,234148544.87,2022-08-06-00-00-00-000000
448,WSTETH-B,124604.0,222868162.12,2022-08-06-00-00-00-000000
449,USDC-A,227112537.0,227112536.98,2022-08-06-00-00-00-000000
450,WBTC-A,33867.0,785234561.79,2022-08-06-00-00-00-000000
451,WBTC-B,681.0,15795224.37,2022-08-06-00-00-00-000000
452,WBTC-C,5701.0,132180205.86,2022-08-06-00-00-00-000000
453,MANA-A,68345084.0,73834015.41,2022-08-06-00-00-00-000000
454,USDP-A,6237220.0,6237219.84,2022-08-06-00-00-00-000000
455,LINK-A,880863.0,7005809.15,2022-08-06-00-00-00-000000
456,YFI-A,51.0,606863.56,2022-08-06-00-00-00-000000
457,GUSD-A,392094.0,392093.89,2022-08-06-00-00-00-000000
458,UNI-A,60684.0,545659.71,2022-08-06-00-00-00-000000
459,RENBTC-A,354.0,8212099.18,2022-08-06-00-00-00-000000
460,MATIC-A,130864568.0,121002221.63,2022-08-06-00-00-00-000000
461,UNIV2DAIETH-A,1730.0,584413.64,2022-08-06-00-00-00-000000
462,UNIV2WBTCETH-A,0.00010783,369639.32,2022-08-06-00-00-00-000000
463,UNIV2USDCETH-A,0.03981832,6728593.13,2022-08-06-00-00-00-000000
464,UNIV2DAIUSDC-A,83.59764089,188301583.6,2022-08-06-00-00-00-000000
465,UNIV2WBTCDAI-A,0.00024175,22326.72,2022-08-06-00-00-00-000000
466,GUNIV3DAIUSDC1-A,729921.0,744866506.2,2022-08-06-00-00-00-000000
467,GUNIV3DAIUSDC2-A,5053981.0,1022081060.24,2022-08-06-00-00-00-000000
468,CRVV1ETHSTETH-A,443.94251062,772098.74,2022-08-06-00-00-00-000000
469,RWA001-A,1.0,15913500.0,2022-08-06-00-00-00-000000
470,RWA002-A,1.0,22495725.0,2022-08-06-00-00-00-000000
471,RWA003-A,1.0,2359560.0,2022-08-06-00-00-00-000000
472,RWA004-A,1.0,8815730.0,2022-08-06-00-00-00-000000
473,RWA005-A,1.0,17199394.0,2022-08-06-00-00-00-000000
474,RWA006-A,0.0,0.0,2022-08-06-00-00-00-000000
475,RWA008-A,0.0,0.0,2022-08-06-00-00-00-000000
476,RWA009-A,1.0,100000000.0,2022-08-06-00-00-00-000000
477,USDC,3501821818.0,3499304008.112858,2022-08-06-00-00-00-000000
478,USDP,457482751.0,457466281.620964,2022-08-06-00-00-00-000000
479,GUSD,55.0,54.949675,2022-08-06-00-00-00-000000
480,ETH-A,505655.0,855618908.53,2022-08-07-00-00-00-000000
481,ETH-B,91090.0,154133482.94,2022-08-07-00-00-00-000000
482,ETH-C,925016.0,1565219574.23,2022-08-07-00-00-00-000000
483,WSTETH-A,130972.0,230997586.61,2022-08-07-00-00-00-000000
484,WSTETH-B,124578.0,219720548.22,2022-08-07-00-00-00-000000
485,USDC-A,227112537.0,227112536.98,2022-08-07-00-00-00-000000
486,WBTC-A,33872.0,784312277.25,2022-08-07-00-00-00-000000
487,WBTC-B,681.0,15774361.25,2022-08-07-00-00-00-000000
488,WBTC-C,5708.0,132170388.85,2022-08-07-00-00-00-000000
489,MANA-A,68345084.0,72025466.27,2022-08-07-00-00-00-000000
490,USDP-A,6237220.0,6237219.84,2022-08-07-00-00-00-000000
491,LINK-A,880863.0,6924461.48,2022-08-07-00-00-00-000000
492,YFI-A,51.0,589783.56,2022-08-07-00-00-00-000000
493,GUSD-A,392094.0,392093.89,2022-08-07-00-00-00-000000
494,UNI-A,60684.0,543212.47,2022-08-07-00-00-00-000000
495,RENBTC-A,354.0,8201252.23,2022-08-07-00-00-00-000000
496,MATIC-A,130864568.0,119158199.68,2022-08-07-00-00-00-000000
497,UNIV2DAIETH-A,1730.0,584413.64,2022-08-07-00-00-00-000000
498,UNIV2WBTCETH-A,0.00010783,369639.32,2022-08-07-00-00-00-000000
499,UNIV2USDCETH-A,0.03981832,6676698.57,2022-08-07-00-00-00-000000
500,UNIV2DAIUSDC-A,83.59764089,188301999.51,2022-08-07-00-00-00-000000
501,UNIV2WBTCDAI-A,0.00024175,22326.72,2022-08-07-00-00-00-000000
502,GUNIV3DAIUSDC1-A,729921.0,744866625.55,2022-08-07-00-00-00-000000
503,GUNIV3DAIUSDC2-A,5037121.0,1018673159.35,2022-08-07-00-00-00-000000
504,CRVV1ETHSTETH-A,443.94251062,758518.26,2022-08-07-00-00-00-000000
505,RWA001-A,1.0,15913500.0,2022-08-07-00-00-00-000000
506,RWA002-A,1.0,22495725.0,2022-08-07-00-00-00-000000
507,RWA003-A,1.0,2359560.0,2022-08-07-00-00-00-000000
508,RWA004-A,1.0,8815730.0,2022-08-07-00-00-00-000000
509,RWA005-A,1.0,17199394.0,2022-08-07-00-00-00-000000
510,RWA006-A,0.0,0.0,2022-08-07-00-00-00-000000
511,RWA008-A,0.0,0.0,2022-08-07-00-00-00-000000
512,RWA009-A,1.0,100000000.0,2022-08-07-00-00-00-000000
513,USDC,3504172673.0,3493639129.944962,2022-08-07-00-00-00-000000
514,USDP,457521951.0,456455009.810268,2022-08-07-00-00-00-000000
515,GUSD,55.0,55.05499999999999,2022-08-07-00-00-00-000000
516,ETH-A,505680.0,913698851.99,2022-08-08-00-00-00-000000
517,ETH-B,91245.0,164867226.45,2022-08-08-00-00-00-000000
518,ETH-C,920104.0,1662508808.67,2022-08-08-00-00-00-000000
519,WSTETH-A,130930.0,245642280.91,2022-08-08-00-00-00-000000
520,WSTETH-B,127433.0,239080137.58,2022-08-08-00-00-00-000000
521,USDC-A,227112537.0,227112536.98,2022-08-08-00-00-00-000000
522,WBTC-A,33878.0,818014528.15,2022-08-08-00-00-00-000000
523,WBTC-B,681.0,16449437.3,2022-08-08-00-00-00-000000
524,WBTC-C,5709.0,137862098.39,2022-08-08-00-00-00-000000
525,MANA-A,68345084.0,75244339.97,2022-08-08-00-00-00-000000
526,USDP-A,6237220.0,6237219.84,2022-08-08-00-00-00-000000
527,LINK-A,883525.0,7653056.64,2022-08-08-00-00-00-000000
528,YFI-A,51.0,605174.77,2022-08-08-00-00-00-000000
529,GUSD-A,392094.0,392093.89,2022-08-08-00-00-00-000000
530,UNI-A,60684.0,557852.13,2022-08-08-00-00-00-000000
531,RENBTC-A,351.0,8479623.91,2022-08-08-00-00-00-000000
532,MATIC-A,130864568.0,123673832.63,2022-08-08-00-00-00-000000
533,UNIV2DAIETH-A,1730.0,584413.64,2022-08-08-00-00-00-000000
534,UNIV2WBTCETH-A,0.00010783,369639.32,2022-08-08-00-00-00-000000
535,UNIV2USDCETH-A,0.03981832,6901081.67,2022-08-08-00-00-00-000000
536,UNIV2DAIUSDC-A,83.59764089,188302309.91,2022-08-08-00-00-00-000000
537,UNIV2WBTCDAI-A,0.00024175,22326.72,2022-08-08-00-00-00-000000
538,GUNIV3DAIUSDC1-A,728098.0,743006132.79,2022-08-08-00-00-00-000000
539,GUNIV3DAIUSDC2-A,4771833.0,965023869.73,2022-08-08-00-00-00-000000
540,CRVV1ETHSTETH-A,476.60773512,866189.87,2022-08-08-00-00-00-000000
541,RWA001-A,1.0,15913500.0,2022-08-08-00-00-00-000000
542,RWA002-A,1.0,22495725.0,2022-08-08-00-00-00-000000
543,RWA003-A,1.0,2359560.0,2022-08-08-00-00-00-000000
544,RWA004-A,1.0,8815730.0,2022-08-08-00-00-00-000000
545,RWA005-A,1.0,17199394.0,2022-08-08-00-00-00-000000
546,RWA006-A,0.0,0.0,2022-08-08-00-00-00-000000
547,RWA008-A,0.0,0.0,2022-08-08-00-00-00-000000
548,RWA009-A,1.0,100000000.0,2022-08-08-00-00-00-000000
549,USDC,3517754043.0,3524789551.086,2022-08-08-00-00-00-000000
550,USDP,457462099.0,456078276.150525,2022-08-08-00-00-00-000000
551,GUSD,55.0,55.05499999999999,2022-08-08-00-00-00-000000
552,ETH-A,504570.0,898698997.34,2022-08-09-00-00-00-000000
553,ETH-B,91584.0,163121623.31,2022-08-09-00-00-00-000000
554,ETH-C,920275.0,1639118295.48,2022-08-09-00-00-00-000000
555,WSTETH-A,130890.0,243136035.81,2022-08-09-00-00-00-000000
556,WSTETH-B,133674.0,248308691.24,2022-08-09-00-00-00-000000
557,USDC-A,227112537.0,227112536.98,2022-08-09-00-00-00-000000
558,WBTC-A,33857.0,805826342.33,2022-08-09-00-00-00-000000
559,WBTC-B,677.0,16119105.07,2022-08-09-00-00-00-000000
560,WBTC-C,5712.0,135944035.62,2022-08-09-00-00-00-000000
561,MANA-A,68345084.0,74749017.85,2022-08-09-00-00-00-000000
562,USDP-A,6237220.0,6237219.84,2022-08-09-00-00-00-000000
563,LINK-A,883525.0,7649555.16,2022-08-09-00-00-00-000000
564,YFI-A,51.0,588114.86,2022-08-09-00-00-00-000000
565,GUSD-A,392094.0,392093.89,2022-08-09-00-00-00-000000
566,UNI-A,60684.0,535533.93,2022-08-09-00-00-00-000000
567,RENBTC-A,351.0,8358416.19,2022-08-09-00-00-00-000000
568,MATIC-A,130864568.0,119916503.74,2022-08-09-00-00-00-000000
569,UNIV2DAIETH-A,1730.0,584413.64,2022-08-09-00-00-00-000000
570,UNIV2WBTCETH-A,0.00010783,369639.32,2022-08-09-00-00-00-000000
571,UNIV2USDCETH-A,0.03981832,6852910.63,2022-08-09-00-00-00-000000
572,UNIV2DAIUSDC-A,83.59764089,188302724.87,2022-08-09-00-00-00-000000
573,UNIV2WBTCDAI-A,0.00024175,22326.72,2022-08-09-00-00-00-000000
574,GUNIV3DAIUSDC1-A,708867.0,723382175.55,2022-08-09-00-00-00-000000
575,GUNIV3DAIUSDC2-A,4634589.0,937268653.8,2022-08-09-00-00-00-000000
576,CRVV1ETHSTETH-A,476.60773512,857621.04,2022-08-09-00-00-00-000000
577,RWA001-A,1.0,15913500.0,2022-08-09-00-00-00-000000
578,RWA002-A,1.0,22495725.0,2022-08-09-00-00-00-000000
579,RWA003-A,1.0,2359560.0,2022-08-09-00-00-00-000000
580,RWA004-A,1.0,8815730.0,2022-08-09-00-00-00-000000
581,RWA005-A,1.0,17199394.0,2022-08-09-00-00-00-000000
582,RWA006-A,0.0,0.0,2022-08-09-00-00-00-000000
583,RWA008-A,0.0,0.0,2022-08-09-00-00-00-000000
584,RWA009-A,1.0,100000000.0,2022-08-09-00-00-00-000000
585,USDC,3563248614.0,3566811862.614,2022-08-09-00-00-00-000000
586,USDP,457624224.0,456239910.7224,2022-08-09-00-00-00-000000
587,GUSD,55.0,55.05499999999999,2022-08-09-00-00-00-000000
588,ETH-A,502098.0,990272687.75,2022-08-15-00-00-00-000000
589,ETH-B,91015.0,179506473.27,2022-08-15-00-00-00-000000
590,ETH-C,896466.0,1768073452.27,2022-08-15-00-00-00-000000
591,WSTETH-A,129979.0,270226279.5,2022-08-15-00-00-00-000000
592,WSTETH-B,143884.0,299134515.22,2022-08-15-00-00-00-000000
593,USDC-A,227112537.0,227112536.98,2022-08-15-00-00-00-000000
594,WBTC-A,33927.0,841648525.94,2022-08-15-00-00-00-000000
595,WBTC-B,654.0,16228649.15,2022-08-15-00-00-00-000000
596,WBTC-C,4737.0,117507324.3,2022-08-15-00-00-00-000000
597,MANA-A,68345084.0,76114826.34,2022-08-15-00-00-00-000000
598,USDP-A,6237220.0,6237219.84,2022-08-15-00-00-00-000000
599,LINK-A,856238.0,7724980.35,2022-08-15-00-00-00-000000
600,YFI-A,51.0,583010.17,2022-08-15-00-00-00-000000
601,GUSD-A,392094.0,392093.89,2022-08-15-00-00-00-000000
602,RENBTC-A,351.0,8711870.96,2022-08-15-00-00-00-000000
603,MATIC-A,130864568.0,133463447.77,2022-08-15-00-00-00-000000
604,UNIV2USDCETH-A,0.03986347,7157327.17,2022-08-15-00-00-00-000000
605,UNIV2DAIUSDC-A,56.65470143,127615570.33,2022-08-15-00-00-00-000000
606,GUNIV3DAIUSDC1-A,582204.0,594141565.5,2022-08-15-00-00-00-000000
607,GUNIV3DAIUSDC2-A,4346162.0,878966380.37,2022-08-15-00-00-00-000000
608,CRVV1ETHSTETH-A,475.08047022,937346.1,2022-08-15-00-00-00-000000
609,RWA001-A,1.0,15913500.0,2022-08-15-00-00-00-000000
610,RWA002-A,1.0,22495725.0,2022-08-15-00-00-00-000000
611,RWA003-A,1.0,2359560.0,2022-08-15-00-00-00-000000
612,RWA004-A,1.0,8815730.0,2022-08-15-00-00-00-000000
613,RWA005-A,1.0,17199394.0,2022-08-15-00-00-00-000000
614,RWA006-A,0.0,0.0,2022-08-15-00-00-00-000000
615,RWA008-A,0.0,0.0,2022-08-15-00-00-00-000000
616,RWA009-A,1.0,100000000.0,2022-08-15-00-00-00-000000
617,USDC,3543928466.0,3543928466.0,2022-08-15-00-00-00-000000
618,USDP,453705146.0,453559506.648134,2022-08-15-00-00-00-000000
619,GUSD,500109.0,501109.218,2022-08-15-00-00-00-000000
620,ETH-A,501644.0,949510915.62,2022-08-16-00-00-00-000000
621,ETH-B,90473.0,171247192.94,2022-08-16-00-00-00-000000
622,ETH-C,890690.0,1685897692.0,2022-08-16-00-00-00-000000
623,WSTETH-A,129066.0,257338888.43,2022-08-16-00-00-00-000000
624,WSTETH-B,144863.0,288836144.64,2022-08-16-00-00-00-000000
625,USDC-A,227112537.0,227112536.98,2022-08-16-00-00-00-000000
626,WBTC-A,33850.0,814016955.75,2022-08-16-00-00-00-000000
627,WBTC-B,656.0,15767289.32,2022-08-16-00-00-00-000000
628,WBTC-C,4739.0,113961326.95,2022-08-16-00-00-00-000000
629,MANA-A,68345084.0,71355740.85,2022-08-16-00-00-00-000000
630,USDP-A,6237220.0,6237219.84,2022-08-16-00-00-00-000000
631,LINK-A,856238.0,7445011.1,2022-08-16-00-00-00-000000
632,YFI-A,51.0,570954.49,2022-08-16-00-00-00-000000
633,GUSD-A,392094.0,392093.89,2022-08-16-00-00-00-000000
634,RENBTC-A,351.0,8445052.08,2022-08-16-00-00-00-000000
635,MATIC-A,130864568.0,124576622.68,2022-08-16-00-00-00-000000
636,UNIV2USDCETH-A,0.03986347,7088791.82,2022-08-16-00-00-00-000000
637,UNIV2DAIUSDC-A,56.0420534,126235677.7,2022-08-16-00-00-00-000000
638,GUNIV3DAIUSDC1-A,582427.0,594369192.37,2022-08-16-00-00-00-000000
639,GUNIV3DAIUSDC2-A,4346162.0,878971589.25,2022-08-16-00-00-00-000000
640,CRVV1ETHSTETH-A,475.08047022,917439.47,2022-08-16-00-00-00-000000
641,RWA001-A,1.0,15913500.0,2022-08-16-00-00-00-000000
642,RWA002-A,1.0,22495725.0,2022-08-16-00-00-00-000000
643,RWA003-A,1.0,2359560.0,2022-08-16-00-00-00-000000
644,RWA004-A,1.0,8815730.0,2022-08-16-00-00-00-000000
645,RWA005-A,1.0,17199394.0,2022-08-16-00-00-00-000000
646,RWA006-A,0.0,0.0,2022-08-16-00-00-00-000000
647,RWA008-A,0.0,0.0,2022-08-16-00-00-00-000000
648,RWA009-A,1.0,100000000.0,2022-08-16-00-00-00-000000
649,USDC,3532567270.0,3528165691.18158,2022-08-16-00-00-00-000000
650,USDP,453013324.0,452525881.663376,2022-08-16-00-00-00-000000
651,GUSD,500109.0,493941.655812,2022-08-16-00-00-00-000000
652,ETH-A,502092.0,923417723.59,2022-08-18-00-00-00-000000
653,ETH-B,90116.0,165735896.33,2022-08-18-00-00-00-000000
654,ETH-C,892860.0,1642095040.34,2022-08-18-00-00-00-000000
655,WSTETH-A,128083.0,248024562.26,2022-08-18-00-00-00-000000
656,WSTETH-B,145924.0,282570751.27,2022-08-18-00-00-00-000000
657,USDC-A,227112537.0,227112536.98,2022-08-18-00-00-00-000000
658,WBTC-A,33850.0,793642079.4,2022-08-18-00-00-00-000000
659,WBTC-B,662.0,15513122.17,2022-08-18-00-00-00-000000
660,WBTC-C,4789.0,112283515.64,2022-08-18-00-00-00-000000
661,MANA-A,68345084.0,66069192.24,2022-08-18-00-00-00-000000
662,USDP-A,6237220.0,6237219.84,2022-08-18-00-00-00-000000
663,LINK-A,856238.0,6893427.57,2022-08-18-00-00-00-000000
664,YFI-A,51.0,571066.54,2022-08-18-00-00-00-000000
665,GUSD-A,392094.0,392093.89,2022-08-18-00-00-00-000000
666,RENBTC-A,351.0,8233672.09,2022-08-18-00-00-00-000000
667,MATIC-A,130864568.0,115555376.58,2022-08-18-00-00-00-000000
668,UNIV2USDCETH-A,0.03984647,7008518.64,2022-08-18-00-00-00-000000
669,UNIV2DAIUSDC-A,52.72776807,118770383.14,2022-08-18-00-00-00-000000
670,GUNIV3DAIUSDC1-A,582382.0,594324177.13,2022-08-18-00-00-00-000000
671,GUNIV3DAIUSDC2-A,4345938.0,878931437.47,2022-08-18-00-00-00-000000
672,CRVV1ETHSTETH-A,506.49549188,955332.88,2022-08-18-00-00-00-000000
673,RWA001-A,1.0,15913500.0,2022-08-18-00-00-00-000000
674,RWA002-A,1.0,22495725.0,2022-08-18-00-00-00-000000
675,RWA003-A,1.0,2359560.0,2022-08-18-00-00-00-000000
676,RWA004-A,1.0,8815730.0,2022-08-18-00-00-00-000000
677,RWA005-A,1.0,17199394.0,2022-08-18-00-00-00-000000
678,RWA006-A,0.0,0.0,2022-08-18-00-00-00-000000
679,RWA008-A,0.0,0.0,2022-08-18-00-00-00-000000
680,RWA009-A,1.0,100000000.0,2022-08-18-00-00-00-000000
681,USDC,3462283873.0,3465746156.873,2022-08-18-00-00-00-000000
682,USDP,452906428.0,453812240.856,2022-08-18-00-00-00-000000
683,GUSD,477569.0,478046.569,2022-08-18-00-00-00-000000
684,ETH-A,501518.0,875149008.17,2022-08-19-00-00-00-000000
685,ETH-B,89532.0,156233356.39,2022-08-19-00-00-00-000000
686,ETH-C,894626.0,1561123065.64,2022-08-19-00-00-00-000000
687,WSTETH-A,127998.0,236753294.74,2022-08-19-00-00-00-000000
688,WSTETH-B,146067.0,270174161.26,2022-08-19-00-00-00-000000
689,USDC-A,227112537.0,227112536.98,2022-08-19-00-00-00-000000
690,WBTC-A,33683.0,740296265.78,2022-08-19-00-00-00-000000
691,WBTC-B,662.0,14546558.11,2022-08-19-00-00-00-000000
692,WBTC-C,4787.0,105209202.04,2022-08-19-00-00-00-000000
693,MANA-A,68345084.0,58027367.99,2022-08-19-00-00-00-000000
694,USDP-A,6237220.0,6237219.84,2022-08-19-00-00-00-000000
695,LINK-A,853742.0,6067542.87,2022-08-19-00-00-00-000000
696,YFI-A,51.0,478606.93,2022-08-19-00-00-00-000000
697,GUSD-A,392094.0,392093.89,2022-08-19-00-00-00-000000
698,RENBTC-A,351.0,7718329.01,2022-08-19-00-00-00-000000
699,MATIC-A,131002167.0,104686910.23,2022-08-19-00-00-00-000000
700,UNIV2USDCETH-A,0.03984647,6881034.1,2022-08-19-00-00-00-000000
701,UNIV2DAIUSDC-A,48.35826006,108928105.24,2022-08-19-00-00-00-000000
702,GUNIV3DAIUSDC1-A,439589.0,448603414.18,2022-08-19-00-00-00-000000
703,GUNIV3DAIUSDC2-A,4950523.0,1001206856.31,2022-08-19-00-00-00-000000
704,CRVV1ETHSTETH-A,547.05782077,979950.98,2022-08-19-00-00-00-000000
705,RWA001-A,1.0,15913500.0,2022-08-19-00-00-00-000000
706,RWA002-A,1.0,22495725.0,2022-08-19-00-00-00-000000
707,RWA003-A,1.0,2359560.0,2022-08-19-00-00-00-000000
708,RWA004-A,1.0,8815730.0,2022-08-19-00-00-00-000000
709,RWA005-A,1.0,17199394.0,2022-08-19-00-00-00-000000
710,RWA006-A,0.0,0.0,2022-08-19-00-00-00-000000
711,RWA008-A,0.0,0.0,2022-08-19-00-00-00-000000
712,RWA009-A,1.0,100000000.0,2022-08-19-00-00-00-000000
713,USDC,3430039768.0,3436899847.536,2022-08-19-00-00-00-000000
714,USDP,452916423.0,451278224.298009,2022-08-19-00-00-00-000000
715,GUSD,477569.0,473840.618817,2022-08-19-00-00-00-000000
716,ETH-A,500371.0,813993799.1,2022-08-20-00-00-00-000000
717,ETH-B,87523.0,142380716.0,2022-08-20-00-00-00-000000
718,ETH-C,895127.0,1456174251.46,2022-08-20-00-00-00-000000
719,WSTETH-A,127987.0,219127996.4,2022-08-20-00-00-00-000000
720,WSTETH-B,154081.0,263803300.29,2022-08-20-00-00-00-000000
721,USDC-A,227112537.0,227112536.98,2022-08-20-00-00-00-000000
722,WBTC-A,33685.0,712342996.41,2022-08-20-00-00-00-000000
723,WBTC-B,712.0,15049063.11,2022-08-20-00-00-00-000000
724,WBTC-C,4761.0,100677842.06,2022-08-20-00-00-00-000000
725,MANA-A,68345084.0,58097943.17,2022-08-20-00-00-00-000000
726,USDP-A,6237220.0,6237219.84,2022-08-20-00-00-00-000000
727,LINK-A,853742.0,5966812.66,2022-08-20-00-00-00-000000
728,YFI-A,51.0,458934.93,2022-08-20-00-00-00-000000
729,GUSD-A,392094.0,392093.89,2022-08-20-00-00-00-000000
730,RENBTC-A,350.0,7400289.47,2022-08-20-00-00-00-000000
731,MATIC-A,131002167.0,105436242.66,2022-08-20-00-00-00-000000
732,UNIV2USDCETH-A,0.03984647,6592374.37,2022-08-20-00-00-00-000000
733,UNIV2DAIUSDC-A,47.37818877,106720934.4,2022-08-20-00-00-00-000000
734,GUNIV3DAIUSDC1-A,439544.0,448558066.14,2022-08-20-00-00-00-000000
735,GUNIV3DAIUSDC2-A,4703222.0,951192903.37,2022-08-20-00-00-00-000000
736,CRVV1ETHSTETH-A,476.22194214,791816.85,2022-08-20-00-00-00-000000
737,RWA001-A,1.0,15913500.0,2022-08-20-00-00-00-000000
738,RWA002-A,1.0,22495725.0,2022-08-20-00-00-00-000000
739,RWA003-A,1.0,2359560.0,2022-08-20-00-00-00-000000
740,RWA004-A,1.0,8815730.0,2022-08-20-00-00-00-000000
741,RWA005-A,1.0,17199394.0,2022-08-20-00-00-00-000000
742,RWA006-A,0.0,0.0,2022-08-20-00-00-00-000000
743,RWA008-A,0.0,0.0,2022-08-20-00-00-00-000000
744,RWA009-A,1.0,100000000.0,2022-08-20-00-00-00-000000
745,USDC,3471875357.0,3467608422.186247,2022-08-20-00-00-00-000000
746,USDP,397230374.0,397627604.374,2022-08-20-00-00-00-000000
747,GUSD,41427.0,41275.667169,2022-08-20-00-00-00-000000
748,ETH-A,499745.0,850421200.41,2022-08-25-00-00-00-000000
749,ETH-B,82122.0,139748705.11,2022-08-25-00-00-00-000000
